"","imp.Agarose-control-1","imp.Agarose-control-2","imp.Agarose-control-3","imp.Agarose-control-4","imp.Agarose-control-5","imp.Agarose-control-6","imp.TUBE.KO-Drug-1-1","imp.TUBE.KO-Drug-1-2","imp.TUBE.KO-Drug-1-3","imp.TUBE.KO-Drug-2-1","imp.TUBE.KO-Drug-2-2","imp.TUBE.KO-Drug-2-3","imp.TUBE.KO-Drug-3-1","imp.TUBE.KO-Drug-3-2","imp.TUBE.KO-Drug-3-3","imp.TUBE.KO-vehicle-1","imp.TUBE.KO-vehicle-2","imp.TUBE.KO-vehicle-3","imp.TUBE.WT-Drug-1-1","imp.TUBE.WT-Drug-1-2","imp.TUBE.WT-Drug-1-3","imp.TUBE.WT-Drug-2-1","imp.TUBE.WT-Drug-2-2","imp.TUBE.WT-Drug-2-3","imp.TUBE.WT-Drug-3-1","imp.TUBE.WT-Drug-3-2","imp.TUBE.WT-Drug-3-3","imp.TUBE.WT-vehicle-1","imp.TUBE.WT-vehicle-2","imp.TUBE.WT-vehicle-3","log2.ratio","p.value","Protein IDs","Gene names"
"1",5.49340227926249,5.69997640056529,5.70448512080926,5.80655303552734,5.48794397264485,5.58849580100721,7.43984720942958,5.600166689408,5.84893386292132,6.74423055222567,6.66794557700836,6.25925930985236,6.82856586970811,6.67153516460136,5.86305506179488,6.71740535065839,6.88881692158489,5.65667304588485,6.65073141239172,6.5432159416317,5.13468699255685,6.80866070150631,6.13145826010653,5.87142113944381,7.23097792481881,7.38570220132598,5.86822110354736,6.85433300965128,6.63477731939796,5.70059988932082,0.0810385463378124,0.855254741327352,"A0A075B5Q4","Ighv5-12"
"2",5.49340227926249,6.1551720884428,5.70448512080926,5.80655303552734,5.48794397264485,5.58849580100721,7.63283478345748,7.6381117021401,7.68550514919689,7.91737968081982,7.87505290836774,8.01001367189749,7.97378514409139,7.84458230955208,7.90883012946532,7.61053884867078,7.5290238929727,7.59234637491772,7.64615519664665,7.57533288929372,7.63876762205745,7.85586361861005,7.79457788519571,7.9380699318188,7.9273354939788,8.05351497734682,7.92780307645387,7.65702867335459,7.62159410145606,7.63400741535694,-0.200114137250435,0.065495694027971,"A0A0A6YVU8;Q9JKV1","Gm9774;Adrm1"
"3",6.32884333279779,6.9175691642937,5.70448512080926,5.80655303552734,6.80964101369723,5.58849580100721,5.93659918553387,5.600166689408,7.10449789474003,7.36669894388645,7.06744249301704,7.20158149642288,7.31433399550626,7.14069232080089,7.07849032211491,7.15729107828086,7.1789630412274,7.10637874905383,7.12833181891046,6.9971034274557,5.13468699255685,7.26918054293746,7.23019212478881,5.87142113944381,7.02314391634373,7.34784528850878,7.21356742485819,5.53660893899411,5.57422810328016,7.0146696225954,3.67308491011097,0.160976040499955,"A0A0B4J1F9","Tchh"
"4",6.6744237998465,0,0,0,0,0,0,0,0,6.40757408632771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43052829584472,0,0,0,0,NA,NA,"A0A0G2JG17",NA
"5",7.44373379551058,7.53590385594379,7.48362506380411,7.50259136853036,7.50653583068538,7.59776033939395,7.33189698427613,7.41367433616198,7.48493006423985,7.41346129690766,7.41447971335774,7.30136259308917,7.33767999105522,7.53043183848214,7.51553226943218,7.39200858932807,7.43179890566334,7.36818533121739,7.38121588495187,7.43670024057062,7.31365129975221,7.4430367509664,7.47860198433744,7.44445171364131,7.28533133893548,7.51703131827818,7.52976886985653,6.98313864384608,7.3130086476805,7.47167181207855,0.469691535410029,0.441095074446718,"A0A0J9YTR2",NA
"6",6.25200031203809,6.36825553880891,6.80017874283722,6.08515281582698,6.83154623900239,6.91968072628602,7.95017683755926,7.94620369819808,7.81864924522678,7.90668937521931,7.65426955176961,7.99280766330358,7.84841502675528,7.81504316387436,7.95889305297719,7.84772817575369,7.73074070634604,7.75281283008223,7.68000724767242,7.85699975610915,7.73120170101363,7.83948929554529,7.86699791725311,7.78395713565331,7.84622592035612,7.9036842933715,7.89136591010523,7.57939060498401,7.97499651187663,7.78321021431816,-0.00699334406073998,0.989986175187598,"A0A0J9YTW6;A2ASI5;A2APX8;Q9ER60;Q62205",NA
"7",6.61971763310213,6.53461194858391,5.70448512080926,6.3908734545923,5.48794397264485,6.45222510187549,7.17715906986852,7.2604243750892,7.19904111874156,7.22739119346869,7.22132658735232,7.15598461927782,7.1979168637152,7.16813177164844,7.21206723353322,7.13525512662889,7.11178419701258,7.17190929291954,7.23569164966985,7.08784666821889,7.07181400814727,7.20272151042106,7.24848617400416,7.22246511528864,7.23175069012701,7.25168817081265,7.04224806804523,7.11797253905858,7.17585088891919,7.18015527246481,-0.0609353272367354,0.524854868330871,"Q91XX6;Q91XX8;Q91XX5;Q91XY5;Q91XX7;Q91XY9;A0A140LI48;Q91XY7;Q91XY2;Q91XX9;Q91XY8;Q91XX1;Q6DD96;Q91XW9;Q91XY4","Pcdhgb4;Pcdhgb1;Pcdhgb5;Pcdhga3;Pcdhgb2;Pcdhga10;Pcdhga12;Pcdhga6;Pcdhga9;Pcdhga11;Pcdhgc3;Pcdhga7;Pcdhgc5;Pcdhga4"
"8",9.96422455034976,9.93030433546033,9.93484517509986,9.95979159713721,9.98800927820186,10.0018085199607,9.89637391031749,9.87722830316262,9.91562309381359,9.91168598576712,9.91098694817991,9.94575671724165,9.89563629019934,9.87070641923452,9.94064087711185,9.83511469241514,9.88064476485232,9.89968408538714,9.89744285169165,9.88875540088786,9.93080862487767,9.89245414675342,9.83549580057874,9.98846857377086,9.85566999719687,9.8951078759958,9.93804825077385,9.87826861748199,9.87443884851197,9.89013250017563,-0.03033631632461,0.645604852047171,"A0A140T8M7;P62751;D3YTY6","Rpl23a"
"9",9.2440317764039,9.32244664781804,9.13336707030217,9.16252162372048,9.18010569793148,9.11457525110879,9.62161719476876,9.61987710053199,9.55846952206702,9.59948911873607,9.50459593809475,9.55908728874561,9.61700379450673,9.62454585519043,9.5359712380235,9.59230395509961,9.61010156668352,9.52510665745037,9.56818127348604,9.64022197247547,9.49962492390758,9.53760546096753,9.54076256558727,9.54006548128508,9.5343762533715,9.60146677738876,9.53553686826395,9.57555775857733,9.61845182301755,9.54952541032733,-0.0177422105432622,0.699300858551483,"S4R1W1;A0A1D5RLD8;P16858;V9GXA7;V9GXK0","Gm3839;Gapdh"
"10",6.73019541599585,6.76360003018579,6.57223860304425,6.50712557566536,6.76239899325561,6.68534606544131,5.93659918553387,6.61205252827857,6.61481803047873,6.1197835861617,7.10528395079562,6.56410200422002,6.80506438598649,5.90129481716557,5.86305506179488,6.54168491605494,6.71199964624553,6.61651084871956,5.98068043388499,6.4739963990431,6.41432442631428,6.93959289158627,6.651391076338,5.87142113944381,6.65428437791761,6.02485494830502,6.56405377164069,5.53660893899411,6.62518988744233,6.50400761168331,1.33363118874998,0.314970290238941,"A2A4P0","Dhx8"
